time,ssid,bssid,rssi,rtt1,rtt2,using_wifi,using_cell,manual_flag
2025-01-12 21:00:53.114,"2012",cc:24:2e:f5:86:c6,-37,,282,513,1,0,default
2025-01-12 21:00:54.934,"2012",cc:24:2e:f5:86:c6,-37,,31,763,1,0,default
2025-01-12 21:00:56.753,"2012",cc:24:2e:f5:86:c6,-36,,24,206,1,0,default
2025-01-12 21:00:58.008,"2012",cc:24:2e:f5:86:c6,-36,,21,214,1,0,default
2025-01-12 21:00:59.275,"2012",cc:24:2e:f5:86:c6,-38,,23,205,1,0,default
2025-01-12 21:01:00.534,"2012",cc:24:2e:f5:86:c6,-38,,23,202,1,0,default
2025-01-12 21:01:01.806,"2012",cc:24:2e:f5:86:c6,-38,,23,199,1,0,default
2025-01-12 21:01:03.051,"2012",cc:24:2e:f5:86:c6,-39,,21,218,1,0,default
2025-01-12 21:01:04.316,"2012",cc:24:2e:f5:86:c6,-39,,24,198,1,0,default
2025-01-12 21:01:05.567,"2012",cc:24:2e:f5:86:c6,-38,,21,202,1,0,default
2025-01-12 21:01:06.813,"2012",cc:24:2e:f5:86:c6,-38,,22,221,1,0,default
2025-01-12 21:01:08.087,"2012",cc:24:2e:f5:86:c6,-39,,17,209,1,0,default
2025-01-12 21:01:09.362,"2012",cc:24:2e:f5:86:c6,-39,,22,201,1,0,default
2025-01-12 21:01:10.610,"2012",cc:24:2e:f5:86:c6,-39,,23,200,1,0,default
2025-01-12 21:01:11.871,"2012",cc:24:2e:f5:86:c6,-39,,23,205,1,0,default
2025-01-12 21:01:13.142,"2012",cc:24:2e:f5:86:c6,-39,,16,188,1,0,default
2025-01-12 21:01:14.381,"2012",cc:24:2e:f5:86:c6,-35,,22,205,1,0,default
2025-01-12 21:01:15.648,"2012",cc:24:2e:f5:86:c6,-35,,22,268,1,0,default
2025-01-12 21:01:16.960,"2012",cc:24:2e:f5:86:c6,-35,,23,212,1,0,default
2025-01-12 21:01:18.224,"2012",cc:24:2e:f5:86:c6,-34,,23,211,1,0,default
2025-01-12 21:01:19.483,"2012",cc:24:2e:f5:86:c6,-34,,23,194,1,0,default
2025-01-12 21:01:20.719,"2012",cc:24:2e:f5:86:c6,-35,,23,223,1,0,default
2025-01-12 21:01:21.998,"2012",cc:24:2e:f5:86:c6,-35,,31,206,1,0,default
2025-01-12 21:01:23.272,"2012",cc:24:2e:f5:86:c6,-36,,15,205,1,0,default
2025-01-12 21:01:24.540,"2012",cc:24:2e:f5:86:c6,-36,,22,189,1,0,default
2025-01-12 21:01:25.793,"2012",cc:24:2e:f5:86:c6,-36,,22,208,1,0,default
2025-01-12 21:01:27.050,"2012",cc:24:2e:f5:86:c6,-38,,24,207,1,0,default
2025-01-12 21:01:28.304,"2012",cc:24:2e:f5:86:c6,-38,,23,208,1,0,default
2025-01-12 21:01:29.566,"2012",cc:24:2e:f5:86:c6,-37,,22,191,1,0,default
2025-01-12 21:01:30.809,"2012",cc:24:2e:f5:86:c6,-37,,23,225,1,0,default
2025-01-12 21:01:32.081,"2012",cc:24:2e:f5:86:c6,-43,,23,199,1,0,default
2025-01-12 21:01:33.335,"2012",cc:24:2e:f5:86:c6,-43,,25,192,1,0,default
2025-01-12 21:01:34.605,"2012",cc:24:2e:f5:86:c6,-43,,31,214,1,0,default
2025-01-12 21:01:35.891,"2012",cc:24:2e:f5:86:c6,-47,,23,206,1,0,default
2025-01-12 21:01:37.141,"2012",cc:24:2e:f5:86:c6,-47,,16,204,1,0,default
2025-01-12 21:01:38.414,"2012",cc:24:2e:f5:86:c6,-50,,25,205,1,0,default
2025-01-12 21:01:39.680,"2012",cc:24:2e:f5:86:c6,-50,,23,203,1,0,default
2025-01-12 21:01:40.948,"2012",cc:24:2e:f5:86:c6,-50,,23,206,1,0,default
2025-01-12 21:01:42.214,"2012",cc:24:2e:f5:86:c6,-50,,23,209,1,0,default
2025-01-12 21:01:43.466,"2012",cc:24:2e:f5:86:c6,-50,,26,196,1,0,default
2025-01-12 21:01:44.736,"2012",cc:24:2e:f5:86:c6,-55,,46,241,1,0,default
2025-01-12 21:01:46.044,"2012",cc:24:2e:f5:86:c6,-55,,29,243,1,0,default
2025-01-12 21:01:47.345,"2012",cc:24:2e:f5:86:c6,-71,,24,207,1,0,default
2025-01-12 21:01:48.626,"2012",cc:24:2e:f5:86:c6,-71,,289,212,1,0,default
2025-01-12 21:01:50.171,"2012",cc:24:2e:f5:86:c6,-79,,28,235,1,0,default
2025-01-12 21:01:51.614,"2012",cc:24:2e:f5:86:c6,-79,,43,460,1,0,Door2_1
2025-01-12 21:01:53.237,"2012",cc:24:2e:f5:86:c6,-82,,1044,3490,1,0,default
2025-01-12 21:02:01.359,"2012",cc:24:2e:f5:86:c6,-82,,47,382,1,0,default
2025-01-12 21:02:03.006,"2012",cc:24:2e:f5:86:c6,-81,,509,,1,0,default
2025-01-12 21:02:10.594,"2012",cc:24:2e:f5:86:c6,-81,,24,431,1,0,default
2025-01-12 21:02:12.077,"2012",cc:24:2e:f5:86:c6,-77,,15,215,1,0,default
2025-01-12 21:02:13.357,"2012",cc:24:2e:f5:86:c6,-77,,115,220,1,0,default
2025-01-12 21:02:14.715,"2012",cc:24:2e:f5:86:c6,-76,,24,218,1,0,default
2025-01-12 21:02:16.006,"2012",cc:24:2e:f5:86:c6,-76,,24,205,1,0,Door2_2
2025-01-12 21:02:17.350,"2012",cc:24:2e:f5:86:c6,-73,,27,228,1,0,default
2025-01-12 21:02:18.632,"2012",cc:24:2e:f5:86:c6,-73,,28,206,1,0,default
2025-01-12 21:02:19.897,"2012",cc:24:2e:f5:86:c6,-73,,27,205,1,0,default
2025-01-12 21:02:21.158,"2012",cc:24:2e:f5:86:c6,-69,,20,185,1,0,default
2025-01-12 21:02:22.384,"2012",cc:24:2e:f5:86:c6,-69,,28,204,1,0,default
2025-01-12 21:02:23.652,"2012",cc:24:2e:f5:86:c6,-57,,26,203,1,0,default
2025-01-12 21:02:24.907,"2012",cc:24:2e:f5:86:c6,-57,,26,191,1,0,default
2025-01-12 21:02:26.155,"2012",cc:24:2e:f5:86:c6,-57,,28,200,1,0,default
2025-01-12 21:02:27.431,"2012",cc:24:2e:f5:86:c6,-50,,32,204,1,0,default
2025-01-12 21:02:28.709,"2012",cc:24:2e:f5:86:c6,-50,,27,187,1,0,default
2025-01-12 21:02:29.953,"2012",cc:24:2e:f5:86:c6,-49,,27,194,1,0,default
2025-01-12 21:02:31.202,"2012",cc:24:2e:f5:86:c6,-49,,20,199,1,0,default
2025-01-12 21:02:32.457,"2012",cc:24:2e:f5:86:c6,-50,,23,198,1,0,default
2025-01-12 21:02:33.733,"2012",cc:24:2e:f5:86:c6,-50,,25,199,1,0,default
2025-01-12 21:02:34.979,"2012",cc:24:2e:f5:86:c6,-50,,27,197,1,0,default
2025-01-12 21:02:36.229,"2012",cc:24:2e:f5:86:c6,-45,,21,215,1,0,default
2025-01-12 21:02:37.486,"2012",cc:24:2e:f5:86:c6,-45,,23,194,1,0,default
2025-01-12 21:02:38.728,"2012",cc:24:2e:f5:86:c6,-40,,27,187,1,0,default
2025-01-12 21:02:39.994,"2012",cc:24:2e:f5:86:c6,-40,,27,211,1,0,default
2025-01-12 21:02:41.264,"2012",cc:24:2e:f5:86:c6,-39,,28,208,1,0,default
2025-01-12 21:02:42.517,"2012",cc:24:2e:f5:86:c6,-39,,26,225,1,0,default
2025-01-12 21:02:43.794,"2012",cc:24:2e:f5:86:c6,-39,,26,221,1,0,default
2025-01-12 21:02:45.079,"2012",cc:24:2e:f5:86:c6,-39,,20,206,1,0,default
2025-01-12 21:02:46.336,"2012",cc:24:2e:f5:86:c6,-39,,27,225,1,0,default
2025-01-12 21:02:47.610,"2012",cc:24:2e:f5:86:c6,-41,,27,190,1,0,default
2025-01-12 21:02:48.854,"2012",cc:24:2e:f5:86:c6,-41,,23,203,1,0,default
2025-01-12 21:02:50.109,"2012",cc:24:2e:f5:86:c6,-41,,27,186,1,0,default
2025-01-12 21:02:51.393,"2012",cc:24:2e:f5:86:c6,-41,,27,204,1,0,default
2025-01-12 21:02:52.645,"2012",cc:24:2e:f5:86:c6,-41,,29,218,1,0,default
2025-01-12 21:02:53.929,"2012",cc:24:2e:f5:86:c6,-43,,307,402,1,0,default
2025-01-12 21:02:55.677,"2012",cc:24:2e:f5:86:c6,-43,,299,401,1,0,default
2025-01-12 21:02:57.414,"2012",cc:24:2e:f5:86:c6,-42,,23,220,1,0,default
2025-01-12 21:02:58.677,"2012",cc:24:2e:f5:86:c6,-42,,21,216,1,0,default
2025-01-12 21:02:59.967,"2012",cc:24:2e:f5:86:c6,-41,,22,212,1,0,default
