time,ssid,bssid,rssi,rtt1,rtt2,using_wifi,using_cell,manual_flag
2025-01-13 00:13:22.380,"2012H",c2:2e:60:08:6c:06,-41,,29,505,1,0,default
2025-01-13 00:13:24.210,"2012H",c2:2e:60:08:6c:06,-43,,13,194,1,0,default
2025-01-13 00:13:25.459,"2012H",c2:2e:60:08:6c:06,-43,,21,177,1,0,default
2025-01-13 00:13:26.691,"2012H",c2:2e:60:08:6c:06,-41,,14,181,1,0,default
2025-01-13 00:13:27.942,"2012H",c2:2e:60:08:6c:06,-41,,13,212,1,0,default
2025-01-13 00:13:29.249,"2012H",c2:2e:60:08:6c:06,-41,,21,192,1,0,default
2025-01-13 00:13:30.507,"2012H",c2:2e:60:08:6c:06,-46,,23,200,1,0,default
2025-01-13 00:13:31.779,"2012H",c2:2e:60:08:6c:06,-46,,21,194,1,0,default
2025-01-13 00:13:33.046,"2012H",c2:2e:60:08:6c:06,-50,,15,193,1,0,default
2025-01-13 00:13:34.302,"2012H",c2:2e:60:08:6c:06,-50,,21,207,1,0,default
2025-01-13 00:13:35.567,"2012H",c2:2e:60:08:6c:06,-46,,15,193,1,0,default
2025-01-13 00:13:36.853,"2012H",c2:2e:60:08:6c:06,-46,,16,181,1,0,default
2025-01-13 00:13:38.085,"2012H",c2:2e:60:08:6c:06,-46,,21,192,1,0,default
2025-01-13 00:13:39.339,"2012H",c2:2e:60:08:6c:06,-43,,12,191,1,0,default
2025-01-13 00:13:40.595,"2012H",c2:2e:60:08:6c:06,-43,,21,183,1,0,default
2025-01-13 00:13:41.837,"2012H",c2:2e:60:08:6c:06,-44,,16,204,1,0,default
2025-01-13 00:13:43.095,"2012H",c2:2e:60:08:6c:06,-44,,13,208,1,0,default
2025-01-13 00:13:44.386,"2012H",c2:2e:60:08:6c:06,-41,,21,182,1,0,default
2025-01-13 00:13:45.647,"2012H",c2:2e:60:08:6c:06,-41,,23,205,1,0,default
2025-01-13 00:13:46.910,"2012H",c2:2e:60:08:6c:06,-41,,14,192,1,0,default
2025-01-13 00:13:48.162,"2012H",c2:2e:60:08:6c:06,-42,,22,188,1,0,default
2025-01-13 00:13:49.441,"2012H",c2:2e:60:08:6c:06,-42,,22,193,1,0,default
2025-01-13 00:13:50.719,"2012H",c2:2e:60:08:6c:06,-42,,15,193,1,0,default
2025-01-13 00:13:51.970,"2012H",c2:2e:60:08:6c:06,-42,,16,191,1,0,default
2025-01-13 00:13:53.218,"2012H",c2:2e:60:08:6c:06,-42,,16,192,1,0,default
2025-01-13 00:13:54.469,"2012H",c2:2e:60:08:6c:06,-43,,22,189,1,0,default
2025-01-13 00:13:55.981,"2012H",c2:2e:60:08:6c:06,-43,,282,202,1,0,default
2025-01-13 00:13:57.500,"2012H",c2:2e:60:08:6c:06,-42,,23,209,1,0,default
2025-01-13 00:13:58.781,"2012H",c2:2e:60:08:6c:06,-42,,18,212,1,0,default
