time,ssid,bssid,rssi,rtt1,rtt2,using_wifi,using_cell,manual_flag
2025-01-12 21:26:39.196,"2012H",c2:2e:60:08:6c:06,-42,,757,7268,1,0,default
2025-01-12 21:26:48.291,"2012H",c2:2e:60:08:6c:06,-44,,37,413,1,0,default
2025-01-12 21:26:50.021,"2012H",c2:2e:60:08:6c:06,-44,,21,194,1,0,default
2025-01-12 21:26:51.278,"2012H",c2:2e:60:08:6c:06,-44,,19,196,1,0,default
2025-01-12 21:26:52.531,"2012H",c2:2e:60:08:6c:06,-41,,22,191,1,0,default
2025-01-12 21:26:53.774,"2012H",c2:2e:60:08:6c:06,-41,,24,216,1,0,default
2025-01-12 21:26:55.045,"2012H",c2:2e:60:08:6c:06,-41,,17,184,1,0,default
2025-01-12 21:26:56.287,"2012H",c2:2e:60:08:6c:06,-41,,22,181,1,0,default
2025-01-12 21:26:57.520,"2012H",c2:2e:60:08:6c:06,-41,,11,200,1,0,default
2025-01-12 21:26:58.773,"2012H",c2:2e:60:08:6c:06,-46,,20,200,1,0,default
2025-01-12 21:27:00.028,"2012H",c2:2e:60:08:6c:06,-46,,22,192,1,0,default
2025-01-12 21:27:01.275,"2012H",c2:2e:60:08:6c:06,-46,,18,194,1,0,default
2025-01-12 21:27:02.513,"2012H",c2:2e:60:08:6c:06,-46,,22,195,1,0,default
2025-01-12 21:27:03.808,"2012H",c2:2e:60:08:6c:06,-46,,22,197,1,0,default
2025-01-12 21:27:05.059,"2012H",c2:2e:60:08:6c:06,-46,,24,210,1,0,default
2025-01-12 21:27:06.318,"2012H",c2:2e:60:08:6c:06,-46,,20,198,1,0,default
2025-01-12 21:27:07.561,"2012H",c2:2e:60:08:6c:06,-49,,22,187,1,0,default
2025-01-12 21:27:08.813,"2012H",c2:2e:60:08:6c:06,-49,,13,180,1,0,default
2025-01-12 21:27:10.035,"2012H",c2:2e:60:08:6c:06,-45,,21,211,1,0,default
2025-01-12 21:27:11.314,"2012H",c2:2e:60:08:6c:06,-45,,12,179,1,0,default
2025-01-12 21:27:12.540,"2012H",c2:2e:60:08:6c:06,-45,,20,193,1,0,default
2025-01-12 21:27:13.806,"2012H",c2:2e:60:08:6c:06,-47,,22,220,1,0,default
2025-01-12 21:27:15.078,"2012H",c2:2e:60:08:6c:06,-47,,14,213,1,0,default
2025-01-12 21:27:16.362,"2012H",c2:2e:60:08:6c:06,-46,,21,197,1,0,default
2025-01-12 21:27:17.608,"2012H",c2:2e:60:08:6c:06,-46,,22,182,1,0,default
2025-01-12 21:27:18.841,"2012H",c2:2e:60:08:6c:06,-44,,22,198,1,0,default
2025-01-12 21:27:20.089,"2012H",c2:2e:60:08:6c:06,-44,,24,193,1,0,default
2025-01-12 21:27:21.333,"2012H",c2:2e:60:08:6c:06,-44,,17,193,1,0,default
2025-01-12 21:27:22.590,"2012H",c2:2e:60:08:6c:06,-45,,22,197,1,0,default
2025-01-12 21:27:23.844,"2012H",c2:2e:60:08:6c:06,-45,,21,185,1,0,default
2025-01-12 21:27:25.101,"2012H",c2:2e:60:08:6c:06,-42,,15,202,1,0,default
2025-01-12 21:27:26.345,"2012H",c2:2e:60:08:6c:06,-42,,20,209,1,0,default
2025-01-12 21:27:27.611,"2012H",c2:2e:60:08:6c:06,-42,,22,197,1,0,default
2025-01-12 21:27:28.857,"2012H",c2:2e:60:08:6c:06,-39,,19,198,1,0,default
2025-01-12 21:27:30.123,"2012H",c2:2e:60:08:6c:06,-39,,21,184,1,0,default
2025-01-12 21:27:31.355,"2012H",c2:2e:60:08:6c:06,-32,,22,178,1,0,default
2025-01-12 21:27:32.737,"2012H",c2:2e:60:08:6c:06,-32,,23,192,1,0,default
2025-01-12 21:27:33.997,"2012H",c2:2e:60:08:6c:06,-38,,16,216,1,0,default
2025-01-12 21:27:35.259,"2012H",c2:2e:60:08:6c:06,-38,,10,346,1,0,default
2025-01-12 21:27:36.647,"2012H",c2:2e:60:08:6c:06,-38,,21,212,1,0,default
2025-01-12 21:27:37.907,"2012H",c2:2e:60:08:6c:06,-38,,23,192,1,0,default
2025-01-12 21:27:39.157,"2012H",c2:2e:60:08:6c:06,-38,,17,196,1,0,default
2025-01-12 21:27:40.411,"2012H",c2:2e:60:08:6c:06,-37,,20,200,1,0,default
2025-01-12 21:27:41.662,"2012H",c2:2e:60:08:6c:06,-37,,114,182,1,0,default
2025-01-12 21:27:42.983,"2012H",c2:2e:60:08:6c:06,-59,,193,210,1,0,default
2025-01-12 21:27:44.408,"2012H",c2:2e:60:08:6c:06,-59,,24,209,1,0,default
2025-01-12 21:27:45.666,"2012H",c2:2e:60:08:6c:06,-58,,17,640,1,0,default
